0, 2, 4, 6, 8, 10, 12, 14, 16, 18
0.000002676790, 0.000006963984, 0.000010498815, 0.000013867304, 0.000017443260, 0.000021165984, 0.000024179536, 0.000028156669, 0.000031863171, 0.000035607560
0.000002664533, 0.000020722568, 0.000039109553, 0.000056811340, 0.000072570760, 0.000089156111, 0.000107837104, 0.000124136542, 0.000142843974, 0.000159396765
0.000002740378, 0.000030690785, 0.000056524893, 0.000081125043, 0.000108746970, 0.000136885004, 0.000158757815, 0.000184002705, 0.000211333290, 0.000237681383
0.000002777535, 0.000039244423, 0.000074874540, 0.000117546802, 0.000147196550, 0.000175081591, 0.000214812239, 0.000239505758, 0.000283053839, 0.000338803254
0.000002822709, 0.000045802150, 0.000090461925, 0.000128583751, 0.000188791071, 0.000214633364, 0.000254324078, 0.000294172862, 0.000351176577, 0.000417501187
0.000002858730, 0.000055846449, 0.000106822933, 0.000157274237, 0.000209692841, 0.000248234882, 0.000296230611, 0.000354000054, 0.000406247767, 0.000447858662
0.000002596028, 0.000060786896, 0.000121690333, 0.000174661411, 0.000240797145, 0.000325404099, 0.000373086174, 0.000430547267, 0.000471422216, 0.000518978721
0.000002616852, 0.000069372401, 0.000134070283, 0.000202565113, 0.000267313291, 0.000331903029, 0.000400337811, 0.000456217224, 0.000562278322, 0.000630693521
0.000002924141, 0.000097683018, 0.000158658753, 0.000236915409, 0.000312247952, 0.000402833433, 0.000474932493, 0.000555166359, 0.000656059622, 0.000698733052
0.000002736024, 0.000091949793, 0.000181623172, 0.000279848676, 0.000355049700, 0.000454105244, 0.000532407773, 0.000622990612, 0.000715713483, 0.000794063987
